aalib 1.4rc5-15
abseil-cpp 20230125.1-2
acl 2.3.1-3
adobe-source-code-pro-fonts 2.040u+1.060i+1.024vf-1
adwaita-cursors 43-2
adwaita-icon-theme 43-2
alsa-lib 1.2.8-1
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.8-1
alsa-utils 1.2.8-1
anki 2.1.60-1
aom 3.6.0-1
apparmor 3.1.3-1
arandr 0.1.11-1
arc-gtk-theme-git 20221218.r0.g3fd4786f-1
archlinux-keyring 20230320-1
arduino-ide-bin 2.0.4-1
argon2 20190702-4
arm-none-eabi-gdb 13.1-1
at-spi2-core 2.48.0-2
atkmm 2.28.3-1
attr 2.5.1-3
audit 3.1-1
autoconf 2.71-4
automake 1.16.5-2
avahi 0.8+22+gfd482a7-3
base 3-1
base-devel 1-1
bash 5.1.016-3
bat 0.23.0-3
bc 1.07.1-4
betterbird-bin 102.9.0-1
binutils 2.40-4
bison 3.8.2-5
blas 3.11.0-2
bluez-libs 5.66-1
boost-libs 1.81.0-3
box2d 2.4.1-1
brotli 1.0.9-10
btrfs-progs 6.2.2-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.19.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.89-1
ca-certificates-utils 20220905-1
cairo 1.17.8-2
cairomm 1.14.4-1
calcurse 4.8.0-2
camlidl 1.09-1
cantarell-fonts 1:0.303.1-1
caprine 2.57.0-1
catdoc 0.95-4
cblas 3.11.0-2
cdparanoia 10.2-8
chafa 1.12.4-3
clang 15.0.7-2
clucene 2.3.3.4-14
cmake 3.26.3-1
cmus 2.10.0-4
code 1.77.1-1
compiler-rt 15.0.7-1
connman 1.41-1
coreutils 9.2-3
cryptsetup 2.6.1-3
curl 8.0.1-1
dav1d 1.1.0-1
db5.3 5.3.28-2
dbus 1.14.6-2
dbus-glib 0.112-2
dbus-python 1.2.18-4
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.26-2
device-mapper 2.03.20-1
diffutils 3.9-1
discord_arch_electron 0.0.26-1
djvulibre 3.5.28-4
dmraid 1.0.0.rc16.3-14
dnssec-anchors 20190629-3
docx2txt 1.4-5
dosfstools 4.2-3
double-conversion 3.2.1-1
duktape 2.7.0-5
dune 3.7.0.post1-1
e2fsprogs 1.47.0-1
eclipse-arm 6.1.2-1
eclipse-cpp 2:4.27-1
eclipse-pydev 10.1.3-1
eclipse-vrapper 0.74.0-1
efibootmgr 18-2
efivar 38-3
electron 22.3.3-1
electron19 19.1.9-5
enchant 2.3.4-1
epub-thumbnailer-git 1:r75.debba5f-1
etterna 0.72.3-1
evince 43.1-2
exiv2 0.27.6-1
expat 2.5.0-1
faad2 2.10.1-1
fakeroot 1.31-2
feh 3.10-1
ffcall 2.4-2
ffmpeg 2:6.0-4
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-4
file 5.44-3
filesystem 2023.01.31-1
findutils 4.9.0-3
firefox 111.0.1-1
flac 1.4.2-1
flameshot 12.1.0-1
flex 2.6.4-5
fontconfig 2:2.14.2-1
freeglut 3.4.0-1
freetype2 2.13.0-1
fribidi 1.0.12-1
fuse-common 3.14.1-1
fuse2 2.9.9-4
fuse3 3.14.1-1
gawk 5.2.1-2
gc 8.2.2-1
gcc 12.2.1-2
gcc-fortran 12.2.1-2
gcc-libs 12.2.1-2
gcr 3.41.1-3
gd 2.3.3-6
gdb-common 13.1-2
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
geoip 1.6.12-2
geoip-database 20230120-1
